medication_code,Medication Name
1001,KLP
1002,KOP
1003,KIP
1004,RIP
1005,JJY
1006,LLTPS
1007,SSS
1008,STU
1009,JOY
1010,LOP
1011,POTUS
1012,LOGAN
1013,MMM
1014,MNN
1015,MMN
1016,POL
1017,QUIP
1018,QIP
1019,WH
1020,WHO
1021,WHOOO
1022,KAL
1023,BBB
1024,BBY
1025,BBX
1026,XXXX
1027,XCJU
1028,LUYS
1029,PORT
1030,VEIN
1031,USN
1032,TTT
1033,HHS
1034,LLS
1035,P
1036,QYTD
1037,FFF
1038,FEL
1039,MS
1040,MT
1041,MK
1042,ML
1043,MO
1044,QUE
1045,WE
1046,WR
1047,WT
1048,WY
1049,WU
1050,Z
1051,ZA
1052,ZS
1053,ZD
1054,ZF
1055,ZG
1056,VEIN
1057,A
1058,MS
1059,MT
1060,MK
1061,ML
1062,MO
1063,QUE
1064,WE
1065,WR
1066,WT
1067,WY
1068,WU
1069,MS
1070,MT
1071,MK
1072,ML
1073,MO
1074,QUE
1075,WE
1076,WR
1077,WT
1078,WY
1079,WU
1080,AAAA
1081,AAA
1082,AA
1083,A
1084,KLPS
1085,MUS
1086,MUT
1087,FFFJS
1088,UPLS
1089,YYYY
1090,BLSM
1091,QNBF
1092,AAAA
1093,AAA
1094,AA
1095,A
1096,AAAA
1097,AAA
1098,AA
1099,A
1100,RIP
